datetime,aqi,co,no2,o3,so2,pm2_5,pm10
2026-05-07 14:00:00,2,98.92,0.34,68.21,0.86,9.98,26.0
2026-05-07 15:00:00,2,98.21,0.34,69.15,0.85,9.68,25.54
2026-05-07 16:00:00,2,97.89,0.37,69.35,0.84,9.21,24.59
2026-05-07 17:00:00,2,97.78,0.44,68.72,0.82,8.71,23.52
2026-05-07 18:00:00,2,97.94,0.56,68.47,0.83,8.59,23.59
2026-05-07 19:00:00,2,98.5,0.71,69.11,0.86,8.87,24.86
2026-05-07 20:00:00,2,99.3,0.85,70.24,0.9,9.35,26.63
2026-05-07 21:00:00,2,99.92,0.92,71.07,0.92,9.76,28.07
2026-05-07 22:00:00,2,100.53,1.04,72.19,0.97,10.02,28.96
2026-05-07 23:00:00,2,101.22,1.18,72.93,1.04,10.15,29.45
2026-05-08 00:00:00,2,102.26,1.31,72.89,1.1,10.09,29.38
2026-05-08 01:00:00,2,102.97,1.4,71.81,1.15,9.81,28.63
2026-05-08 02:00:00,2,103.61,1.46,70.6,1.19,9.44,27.66
2026-05-08 03:00:00,2,104.25,1.51,69.63,1.23,9.15,27.03
2026-05-08 04:00:00,2,104.67,1.5,69.53,1.23,9.1,27.25
2026-05-08 05:00:00,2,104.51,1.44,69.31,1.2,9.17,27.88
2026-05-08 06:00:00,2,103.81,1.37,68.87,1.15,9.2,28.41
2026-05-08 07:00:00,2,103.04,1.33,67.58,1.11,9.02,28.17
2026-05-08 08:00:00,2,102.35,1.32,65.76,1.07,8.64,27.31
2026-05-08 09:00:00,2,101.85,1.07,65.32,1.02,8.26,26.49
2026-05-08 10:00:00,2,101.6,0.82,67.18,1.0,8.01,26.08
2026-05-08 11:00:00,2,101.25,0.62,70.41,1.0,7.94,26.03
2026-05-08 12:00:00,2,100.89,0.49,73.49,1.01,8.02,26.26
2026-05-08 13:00:00,2,100.5,0.42,75.92,1.01,8.13,26.57
2026-05-08 14:00:00,2,99.71,0.38,77.33,1.0,8.22,26.86
2026-05-08 15:00:00,2,99.28,0.37,78.04,1.01,8.27,27.04
2026-05-08 16:00:00,2,99.33,0.37,78.0,1.0,8.21,26.94
2026-05-08 17:00:00,2,99.13,0.41,77.14,1.0,8.08,26.55
2026-05-08 18:00:00,2,99.2,0.52,75.98,1.02,7.91,26.15
2026-05-08 19:00:00,2,99.22,0.71,74.16,1.04,7.72,25.78
2026-05-08 20:00:00,2,99.04,0.85,71.99,1.06,7.53,25.46
2026-05-08 21:00:00,2,99.03,0.92,70.13,1.05,7.4,25.45
2026-05-08 22:00:00,2,98.73,1.01,68.87,1.06,7.32,25.57
2026-05-08 23:00:00,2,98.69,1.1,68.13,1.09,7.27,25.81
2026-05-09 00:00:00,2,99.09,1.18,66.93,1.11,7.19,25.89
2026-05-09 01:00:00,2,99.37,0.91,62.37,0.91,6.6,24.77
2026-05-09 02:00:00,2,99.29,0.96,61.73,0.93,6.52,24.64
2026-05-09 03:00:00,2,99.63,1.04,61.51,0.97,6.48,24.58
2026-05-09 04:00:00,2,100.48,1.13,61.47,1.01,6.45,24.5
2026-05-09 05:00:00,2,100.98,1.17,61.19,1.01,6.38,24.26
2026-05-09 06:00:00,2,101.18,1.19,60.81,1.0,6.27,23.95
2026-05-09 07:00:00,2,101.53,1.22,60.81,1.0,6.16,23.63
2026-05-09 08:00:00,2,101.94,1.3,60.79,1.01,6.05,23.33
2026-05-09 09:00:00,2,102.2,1.37,61.08,1.01,5.93,23.01
2026-05-09 10:00:00,2,102.81,1.17,62.7,1.03,5.89,22.95
2026-05-09 11:00:00,2,103.67,0.92,66.29,1.06,6.06,23.48
2026-05-09 12:00:00,2,104.81,0.63,70.71,1.08,6.39,24.44
2026-05-09 13:00:00,2,105.57,0.45,74.08,1.09,6.89,25.73
2026-05-09 14:00:00,2,105.79,0.37,76.33,1.09,7.48,27.3
2026-05-09 15:00:00,2,105.99,0.35,77.92,1.11,8.02,29.03
2026-05-09 16:00:00,2,105.61,0.36,78.65,1.09,8.34,31.0
2026-05-09 17:00:00,2,104.17,0.4,78.06,1.05,8.45,33.8
2026-05-09 18:00:00,2,102.44,0.48,76.43,0.99,8.6,37.5
2026-05-09 19:00:00,2,100.93,0.6,74.03,0.9,8.83,41.02
2026-05-09 20:00:00,2,100.23,0.64,71.53,0.81,8.91,42.18
2026-05-09 21:00:00,2,100.3,0.62,69.92,0.75,8.9,42.53
2026-05-09 22:00:00,2,100.74,0.62,69.22,0.72,9.0,44.1
2026-05-09 23:00:00,2,101.47,0.65,69.11,0.71,9.29,47.87
